"_id","CODI_ENS","NOM_ENS","ANY","MES","COMARCA","PROVINCIA","CENS","PAGINA","NOMBRE_DE_PAGINES_VISUALITZADES","NOMBRE_DE_PAGINES_VISUALITZADES_UNIQUES","TEMPS_MITJA_A_LA_PAGINA","ENTRADES","PERCENTATGE_DE_REBOTS","PERCENTATGE_DE_SORTIDES"
"103172","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/empleats-publics/responsable-de-comunicacio/premsa","2","1","0","0","0","0"
"103173","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/empleats-publics/retribucions-indemnitzacions-i-dietes-dels-empleats-publics","9","1","0","0","0","0"
"103174","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/empleats-publics/tecnics-de-l-ens","4","1","0","0","0","0"
"103175","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/informacio-institucional/agenda-d-activitats","2","1","0","0","0","0"
"103176","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/informacio-institucional/dades-estadistiques","1","1","0","0","0","0"
"103177","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/informacio-institucional/dades-generals-de-l-ens","2","1","0","0","0","0"
"103178","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/informacio-institucional/informacio-del-terme-municipal","4","1","0","0","0","0"
"103179","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/informacio-institucional/organigrama-de-l-ens","34","1","0","0","0","0"
"103180","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/informacio-institucional/organismes-dels-que-forma-part","6","1","0","0","0","0"
"103181","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/informacio-institucional/organismes-que-el-formen","1","1","0","0","0","0"
"103182","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals","94","1","0","0","0","0"
"103183","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12476","34","1","0","0","0","0"
"103184","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12477","19","1","0","0","0","0"
"103185","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12478","9","1","0","0","0","0"
"103186","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12479","9","1","0","0","0","0"
"103187","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12480","12","1","0","0","0","0"
"103188","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12481","1","1","0","0","0","0"
"103189","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12481","163","1","0","0","0","0"
"103190","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12482","90","1","0","0","0","0"
"103191","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12483","63","1","0","0","0","0"
"103192","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12484","45","1","0","0","0","0"
"103193","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12485","35","1","0","0","0","0"
"103194","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12486","65","1","0","0","0","0"
"103195","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12487","32","1","0","0","0","0"
"103196","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12488","41","1","0","0","0","0"
"103197","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12491","10","1","0","0","0","0"
"103198","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/12499","22","1","0","0","0","0"
"103199","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/8183","9","1","0","0","0","0"
"103200","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/8186","1","1","0","0","0","0"
"103201","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/alts-carrecs-personal-directiu-i-carrecs-eventuals/-/grupPolitic/veureCarrec/8192","74","1","0","0","0","0"
"103202","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/carrecs-electes","18","1","0","0","0","0"
"103203","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/carrecs-electes/-/grupPolitic/veureCarrec/12476","1","1","0","0","0","0"
"103204","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/carrecs-electes/-/grupPolitic/veureCarrec/12478","1","1","0","0","0","0"
﻿"103205","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/carrecs-electes/-/grupPolitic/veureCarrec/12481","1","1","0","0","0","0"
"103206","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/carrecs-electes/-/grupPolitic/veureCarrec/12482","2","1","0","0","0","0"
"103207","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/carrecs-electes/-/grupPolitic/veureCarrec/12483","2","1","0","0","0","0"
"103208","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/organitzacio-politica-i-retribucions/carrecs-electes/-/grupPolitic/veureCarrec/12485","2","1","0","0","0","0"
